time_s,T_hot_C
35.5,1708.0
35.6,1708.0
35.7,1708.0
35.8,1708.0
35.9,1708.0
36.0,1708.0
36.1,1708.0
36.2,1708.0
36.3,1708.0
36.4,1708.0
36.5,1708.0
36.6,1708.0
36.7,1707.9
36.8,1707.8
36.9,1707.7
37.0,1707.6
37.1,1707.5
37.2,1707.5
37.3,1707.4
37.4,1707.4
37.5,1707.4
37.6,1707.5
37.7,1707.6
37.8,1707.6
37.9,1707.7
38.0,1707.7
38.1,1707.7
38.2,1707.7
38.3,1707.6
38.4,1707.6
38.5,1707.6
38.6,1707.6
38.7,1707.6
38.8,1707.5
38.9,1707.5
39.0,1707.6
39.1,1707.9
39.2,1708.3
39.3,1708.6
39.4,1708.8
39.5,1708.9
39.6,1709.1
39.7,1709.2
39.8,1709.2
39.9,1709.2
40.0,1709.2
40.1,1709.2
40.2,1709.2
40.3,1709.2
40.4,1709.1
40.5,1709.1
40.6,1709.1
40.7,1709.1
40.8,1709.2
40.9,1709.2
41.0,1709.2
41.1,1709.2
41.2,1709.2
41.3,1709.2
41.4,1709.2
41.5,1709.2
41.6,1709.2
41.7,1709.2
41.8,1709.2
41.9,1709.2
42.0,1709.2
42.1,1709.2
42.2,1709.1
42.3,1709.2
42.4,1709.1
42.5,1709.1
42.6,1709.0
42.7,1709.0
42.8,1709.0
42.9,1709.0
43.0,1709.2
43.1,1709.5
43.2,1709.7
43.3,1709.9
43.4,1710.0
43.5,1710.0
43.6,1710.1
43.7,1710.2
43.8,1710.3
43.9,1710.4
44.0,1710.5
44.1,1710.6
44.2,1710.7
44.3,1710.7
44.4,1710.7
44.5,1710.7
44.6,1710.7
44.7,1710.7
44.8,1710.7
44.9,1710.7
45.0,1710.7
45.1,1710.7
45.2,1710.6
45.3,1710.5
45.4,1710.5
45.5,1710.5
45.6,1710.5
45.7,1710.6
45.8,1710.6
45.9,1710.7
46.0,1710.7
46.1,1710.7
46.2,1710.7
46.3,1710.6
46.4,1710.6
46.5,1710.6
46.6,1710.6
46.7,1710.6
46.8,1710.6
46.9,1710.6
47.0,1710.6
47.1,1710.6
47.2,1710.6
47.3,1710.6
47.4,1710.6
47.5,1710.6
47.6,1710.6
47.7,1710.6
47.8,1710.6
47.9,1710.5
48.0,1710.5
48.1,1710.4
48.2,1710.4
48.3,1710.4
48.4,1710.5
48.5,1710.5
48.6,1710.6
48.7,1710.6
48.8,1710.6
48.9,1710.6
49.0,1710.7
49.1,1710.7
49.2,1710.8
49.3,1710.8
49.4,1710.8
49.5,1710.8
49.6,1710.8
49.7,1710.8
49.8,1710.7
49.9,1710.7
50.0,1710.8
50.1,1710.9
50.2,1711.0
50.3,1711.0
50.4,1711.1
50.5,1711.1
50.6,1711.2
50.7,1711.5
50.8,1711.8
50.9,1712.0
51.0,1712.2
51.1,1712.4
51.2,1712.5
51.3,1712.6
51.4,1712.6
51.5,1712.7
51.6,1712.7
51.7,1712.8
51.8,1712.8
51.9,1712.8
52.0,1712.8
52.1,1712.8
52.2,1712.8
52.3,1712.8
52.4,1712.8
52.5,1712.9
52.6,1712.9
52.7,1713.0
52.8,1713.0
52.9,1713.0
53.0,1713.0
53.1,1713.0
53.2,1713.0
53.3,1713.0
53.4,1713.0
53.5,1713.0
53.6,1713.0
53.7,1713.0
53.8,1713.0
53.9,1713.0
54.0,1713.0
54.1,1713.0
54.2,1713.1
54.3,1713.1
54.4,1713.1
54.5,1713.1
54.6,1713.1
54.7,1713.1
54.8,1713.1
54.9,1713.1
55.0,1713.1
55.1,1713.1
55.2,1713.1
55.3,1713.1
55.4,1713.1
55.5,1713.1
55.6,1713.2
55.7,1713.3
55.8,1713.3
55.9,1713.4
56.0,1713.4
56.1,1713.4
56.2,1713.5
56.3,1713.5
56.4,1713.5
56.5,1713.5
56.6,1713.5
56.7,1713.5
56.8,1713.5
56.9,1713.6
57.0,1713.6
57.1,1713.6
57.2,1713.6
57.3,1713.6
57.4,1713.6
57.5,1713.6
57.6,1713.6
57.7,1713.7
57.8,1713.7
57.9,1713.7
58.0,1713.8
58.1,1713.8
58.2,1713.9
58.3,1713.9
58.4,1713.8
58.5,1713.8
58.6,1713.8
58.7,1713.8
58.8,1713.8
58.9,1713.8
59.0,1713.9
59.1,1714.0
59.2,1714.0
59.3,1714.1
59.4,1714.1
59.5,1714.1
59.6,1714.2
59.7,1714.3
59.8,1714.3
59.9,1714.3
60.0,1714.4
60.1,1714.6
60.2,1714.8
60.3,1715.0
60.4,1715.2
60.5,1715.4
60.6,1715.5
60.7,1715.6
60.8,1715.7
60.9,1715.8
61.0,1715.8
61.1,1708.7
61.2,1662.0
61.3,1587.6
61.4,1504.4
61.5,1419.6
61.6,1000.0
61.7,1000.0
61.8,1000.0
61.9,1000.0
62.0,1000.0
62.1,1000.0
62.2,1000.0
62.3,1000.0
62.4,1000.0
62.5,1000.0
62.6,1000.0
62.7,1000.0
62.8,1000.0
62.9,1000.0
63.0,1000.0
63.1,1000.0
63.2,1000.0
63.3,1000.0
63.4,1000.0
63.5,1000.0
63.6,1000.0
63.7,1000.0
63.8,1000.0
63.9,1000.0
64.0,1000.0
